Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Manufacturer,,Platform,Manufacturerid
Detective Conan: Marionette Symphony,3DS,2013,Adventure,Namco Bandai Games,0,0,0.05,0,0.05,,,,,,,Nintendo,,,
Utawarerumono: Itsuwari no Kamen,PS3,2015,Adventure,Aqua Plus,0,0,0.05,0,0.05,,,,,,,Sony,,,
American Chopper 2: Full Throttle,XB,2005,Racing,Zoo Digital Publishing,0.04,0.01,0,0,0.05,,,tbd,,Creat Studios,T,Microsoft,,,
Amnesia Crowd,PSP,2013,Misc,Idea Factory,0,0,0.05,0,0.05,,,,,,,Sony,,,
Pachitte Chonmage Tatsujin 15: Pachinko Fuyu no Sonata 2,PS2,2008,Misc,Hackberry,0,0,0.05,0,0.05,,,,,,,Sony,,,
Monster Hunter Frontier Online,PS3,N/A,Role-Playing,N/A,0,0,0.05,0,0.05,,,,,,,Sony,,,
MTX Mototrax,PSP,2006,Racing,Activision,0.04,0,0,0,0.05,67,8,tbd,,Left Field Productions,E,Sony,,,
VR Soccer '96,PS,1996,Sports,Gremlin Interactive Ltd,0.03,0.02,0,0,0.05,,,,,,,Sony,,,
Ribbit King,GC,2003,Sports,Atari,0.04,0.01,0,0,0.05,60,11,tbd,,Bandai,E,Nintendo,,,
Diabolik Lovers,PSP,2012,Adventure,Idea Factory,0,0,0.05,0,0.05,,,,,,,Sony,,,
Shugo Chara! 3-tsu no Tamagoto Koisuru Joker,DS,2008,Action,Konami Digital Entertainment,0,0,0.05,0,0.05,,,,,,,Nintendo,,,
Summoner: A Goddess Reborn,GC,2003,Role-Playing,THQ,0.04,0.01,0,0,0.05,72,19,tbd,,Cranky Pants Games,T,Nintendo,,,
Pirates vs Ninja Dodgeball,Wii,2009,Sports,SouthPeak Games,0.04,0,0,0,0.05,,,,,,,Nintendo,,,
Secret Service,X360,2008,Action,Activision Value,0.04,0,0,0,0.05,,,5.5,8,Tigon,T,Microsoft,,,
Noddy in Toyland,DS,2011,Misc,GSP,0,0.04,0,0,0.05,,,,,,,Nintendo,,,
Empire Earth,PC,2001,Strategy,Vivendi Games,0,0.04,0,0.01,0.05,81,23,8.2,126,Stainless Steel Studios,T,PC,,,
Yu-Gi-Oh! World Championship 2007,DS,2007,Strategy,Konami Digital Entertainment,0,0.01,0.04,0,0.05,,,,,,,Nintendo,,,
DuckTales: Remastered,PS3,2013,Action,Capcom,0.01,0.03,0,0.01,0.05,75,31,7.4,135,WayForward,E,Sony,,,
E.X. Troopers,PS3,2012,Shooter,Capcom,0,0,0.05,0,0.05,,,,,,,Sony,,,
Worms Reloaded,PC,2010,Strategy,Team17 Software,0,0.04,0,0.01,0.05,79,28,6.8,185,Team 17,E10+,PC,,,
Kiniro no Corda 2 Encore,PS2,2007,Role-Playing,Tecmo Koei,0,0,0.05,0,0.05,,,,,,,Sony,,,
M&M's Adventure,DS,2008,Adventure,Zoo Digital Publishing,0.04,0,0,0,0.05,,,,,,,Nintendo,,,
ESPN Great Outdoor Games Bass 2002,GBA,2001,Sports,Konami Digital Entertainment,0.03,0.01,0,0,0.05,57,7,tbd,,KCEO,E,Nintendo,,,
Soul Eater: Plot of Medusa,DS,2008,Action,Namco Bandai Games,0,0,0.05,0,0.05,,,,,,,Nintendo,,,
StarCraft,PC,1998,Strategy,Activision,0,0.04,0,0.01,0.05,88,15,9.1,813,Blizzard Entertainment,T,PC,,,
Gaist Crusher,3DS,2013,Action,Capcom,0,0,0.05,0,0.05,,,,,,,Nintendo,,,
World Championship Pool 2004,PS2,2004,Sports,Jaleco,0.02,0.02,0,0.01,0.05,60,4,6.7,6,Blade Interactive,E,Sony,,,
Punch King,GBA,2002,Fighting,Acclaim Entertainment,0.03,0.01,0,0,0.05,58,10,tbd,,Full-Fat,E,Nintendo,,,
V-Rally 3,GBA,2002,Racing,Atari,0.03,0.01,0,0,0.05,82,7,tbd,,Velez & Dubail,E,Nintendo,,,
B-Boy,PSP,2006,Misc,Sony Computer Entertainment,0.04,0,0,0,0.05,50,11,7.8,6,FreeStyleGames,T,Sony,,,
Kakuto Chojin,XB,2002,Fighting,Microsoft Game Studios,0.04,0.01,0,0,0.05,46,26,7.2,17,DreamFactory,T,Microsoft,,,
Beyond Oasis,GEN,1993,Role-Playing,Sega,0,0,0.05,0,0.05,,,,,,,Sega,,,
Robotech: Invasion,XB,2004,Shooter,Global Star,0.04,0.01,0,0,0.05,59,41,tbd,,Vicious Cycle,T,Microsoft,,,
Rain (2013),PS3,2013,Adventure,Sony Computer Entertainment,0,0,0.05,0,0.05,,,,,,,Sony,,,
Wii de Asobu Chibi-Robo!,Wii,2009,Adventure,Nintendo,0,0,0.05,0,0.05,,,,,,,Nintendo,,,
Need for Speed Underground,PC,2003,Racing,Electronic Arts,0,0.04,0,0.01,0.05,82,24,8.3,307,Black Box,E,PC,,,
Jewel Quest Mysteries,DS,2009,Puzzle,Astragon,0.03,0.01,0,0,0.05,,,tbd,,Activision,E,Nintendo,,,
Tokyo Ghoul: Jail,PSV,2015,Racing,Namco Bandai Games,0,0,0.05,0,0.05,,,,,,,Sony,,,
To Heart 2 DX Plus,PS3,2011,Adventure,Aqua Plus,0,0,0.05,0,0.05,,,,,,,Sony,,,
Romance of the Three Kingdoms VI: Awakening of the Dragon,PS,1998,Strategy,Tecmo Koei,0.03,0.02,0,0,0.05,,,,,,,Sony,,,
Star Driver: Kagayaki no Takuto - Ginga Bishounen Densetsu,PSP,2011,Adventure,Namco Bandai Games,0,0,0.05,0,0.05,,,,,,,Sony,,,
Frogger: Ancient Shadow,GC,2005,Platform,Konami Digital Entertainment,0.04,0.01,0,0,0.05,54,9,tbd,,Hudson Soft,E,Nintendo,,,
Naruto: Uzumaki Chronicles 2 (JP sales),PS2,2006,Action,Namco Bandai Games,0,0,0.05,0,0.05,,,,,,,Sony,,,
Moon,DS,2009,Adventure,Mastiff,0.04,0,0,0,0.05,71,45,7.4,21,Renegade Kid,T,Nintendo,,,
Snoopy vs the Red Baron,PSP,2006,Adventure,Namco Bandai Games,0.04,0,0,0,0.05,76,7,7.8,4,Smart Bomb Interactive,E10+,Sony,,,
Pet Vet: Down Under,DS,2009,Simulation,Deep Silver,0.04,0,0,0,0.05,,,,,Braingame,E,Nintendo,,,
Virtua Tennis 3,PSP,2007,Sports,Sega,0.02,0.02,0,0.01,0.05,79,17,7.7,13,Sumo Digital,E,Sony,,,
Raze's Hell,XB,2005,Shooter,Majesco Entertainment,0.04,0.01,0,0,0.05,71,37,8.1,8,Artech Studios,M,Microsoft,,,
Far Cry,PC,2004,Shooter,Ubisoft,0,0.04,0,0.01,0.05,89,72,8.1,724,Crytek,M,PC,,,
Gem Smashers,Wii,2011,Platform,Crave Entertainment,0.04,0,0,0,0.05,,,tbd,,Frame Studios Interactive,E,Nintendo,,,
Shin Megami Tensei NINE,XB,2002,Role-Playing,Atlus,0,0,0.05,0,0.05,,,,,,,Microsoft,,,
Magic Carpet,PS,1995,Shooter,Electronic Arts,0.03,0.02,0,0,0.05,,,,,,,Sony,,,
Adventure Time: Explore the Dungeon Because I Don't Know!,PS3,2013,Action,D3Publisher,0.02,0.01,0,0.01,0.05,,,,,,,Sony,,,
Hoshigami: Ruining Blue Earth,PS,2001,Role-Playing,Max Five,0.03,0.02,0,0,0.05,62,9,8.7,26,Max Five,E,Sony,,,
GunPey DS,DS,2006,Puzzle,Atari,0.04,0,0,0,0.05,70,24,tbd,,Q Entertainment,E,Nintendo,,,
Cabela's African Safari,PSP,2006,Sports,Activision Value,0.04,0,0,0,0.05,,,tbd,,FUN Labs,T,Sony,,,
Test Drive: Ferrari Legends,X360,2012,Racing,Atari,0.04,0,0,0,0.05,,,,,,,Microsoft,,,
Sushi Go-Round,Wii,2010,Simulation,Asylum Entertainment,0.04,0,0,0,0.05,,,tbd,,SouthPeak Games,E,Nintendo,,,
NightCaster II: Equinox,XB,2002,Action,Jaleco,0.03,0.01,0,0,0.05,46,12,7,4,Jaleco Entertainment,T,Microsoft,,,
Shin Hayarigami,PSV,2014,Adventure,Nippon Ichi Software,0,0,0.05,0,0.05,,,,,,,Sony,,,
Chocobo to Mahou no Ehon: Majo to Shoujo to 5-Jin no Yuusha,DS,2008,Role-Playing,Square Enix,0,0,0.05,0,0.05,,,,,,,Nintendo,,,
Arslan: The Warriors of Legend,PS3,2015,Action,Tecmo Koei,0,0,0.05,0,0.05,,,tbd,,Omega Force,T,Sony,,,
SD Gundam G Generation World,Wii,2011,Strategy,Namco Bandai Games,0,0,0.05,0,0.05,,,,,,,Nintendo,,,
Ship Simulator Extremes,PC,2010,Simulation,Paradox Interactive,0,0.04,0,0.01,0.05,49,5,6.2,27,VSTEP,E,PC,,,
Winter Sports 2011,PS3,2011,Sports,DTP Entertainment,0,0.04,0,0.01,0.05,,,,,DTP Entertainment,,Sony,,,
Time Crisis: Project Titan,PS,2001,Shooter,Namco Bandai Games,0.03,0.02,0,0,0.05,71,13,6.7,6,Flying Tiger Development,T,Sony,,,
Ore-Sama Kingdom: Koi no Manga mo Debut o Mokushise! Doki Doki Love Lesson,DS,2011,Action,Namco Bandai Games,0,0,0.05,0,0.05,,,,,,,Nintendo,,,
Crusader: No Remorse,PS,1996,Adventure,Electronic Arts,0.03,0.02,0,0,0.05,,,,,,,Sony,,,
Billy the Wizard: Rocket Broomstick Racing,Wii,2007,Racing,Metro 3D,0.04,0,0,0,0.05,,,0.3,4,Data Design Interactive,E,Nintendo,,,
Ys: The Ark of Napishtim,PSP,2006,Role-Playing,Konami Digital Entertainment,0.04,0,0,0,0.05,64,29,7.3,13,Konami Software Shanghai,E10+,Sony,,,
Black & Bruised,GC,2003,Fighting,Vivendi Games,0.04,0.01,0,0,0.05,,,,,,,Nintendo,,,
Winter Sports 3: The Great Tournament,Wii,2010,Sports,Tradewest,0.02,0.02,0,0,0.05,,,,,,,Nintendo,,,
Pro Evolution Soccer 2017,XOne,2016,Sports,Konami Digital Entertainment,0.01,0.03,0,0,0.05,87,12,6.1,84,Konami,E,Microsoft,,,
FIFA Soccer 10,PC,2009,Sports,Electronic Arts,0,0.04,0,0.01,0.05,72,14,3.8,59,EA Sports,E,PC,,,
Jewel Quest 5: The Sleepless Star,PC,2011,Action,Astragon,0.02,0.02,0,0.01,0.05,,,,,,,PC,,,
World Series of Poker: Tournament of Champions 2007 Edition,Wii,2006,Misc,Activision,0.04,0,0,0,0.05,,,,,,,Nintendo,,,
Tom Clancy's Rainbow Six: Lockdown,GC,2005,Shooter,Ubisoft,0.04,0.01,0,0,0.05,72,8,7.8,5,"Red Storm Entertainment, Ubisoft Montreal",M,Nintendo,,,
Yoru no Nai Kuni,PS3,2015,Role-Playing,Tecmo Koei,0,0,0.05,0,0.05,,,,,,,Sony,,,
Full Spectrum Warrior: Ten Hammers,XB,2006,Strategy,THQ,0.03,0.01,0,0,0.05,69,27,tbd,,Pandemic Studios,M,Microsoft,,,
Puyo Puyo Tetris,PSV,2014,Puzzle,Sega,0,0,0.05,0,0.05,,,,,,,Sony,,,
The Sims,PC,2000,Simulation,Electronic Arts,0.01,0.03,0,0.01,0.05,92,38,7.9,451,Maxis,T,PC,,,
Turok: Dinosaur Hunter,N64,1997,Shooter,Acclaim Entertainment,0,0,0.05,0,0.05,,,,,,,Nintendo,,,
MiniCopter: Adventure Flight,Wii,2007,Simulation,505 Games,0.04,0,0,0,0.05,,,tbd,,Sonic Powered,E,Nintendo,,,
FIFA Manager 12,PC,2011,Sports,Electronic Arts,0,0.03,0,0.01,0.05,72,11,3.9,24,Bright Future GmbH,E,PC,,,
Balloon Pop,Wii,2007,Puzzle,505 Games,0.04,0,0,0,0.05,,,tbd,,UFO Interactive,E,Nintendo,,,
Gitaroo Man,PS2,2001,Misc,THQ,0.02,0.02,0,0.01,0.05,82,21,8.7,25,Koei/Inis,E,Sony,,,
Taiko no Tatsujin Portable 2,PSP,2006,Misc,Namco Bandai Games,0,0,0.05,0,0.05,,,,,,,Sony,,,
Super Bubble Pop,GC,2003,Puzzle,Jaleco,0.04,0.01,0,0,0.05,54,12,tbd,,Runecraft,E,Nintendo,,,
Apassionata: Die Galanacht der Pferde,DS,2009,Simulation,RTL,0,0.04,0,0.01,0.05,,,,,,,Nintendo,,,
Battleship / Connect Four / Sorry! / Trouble,DS,2006,Puzzle,"Destination Software, Inc",0.04,0,0,0,0.05,,,,,,,Nintendo,,,
Time Travelers,PSV,2012,Adventure,Level 5,0,0,0.05,0,0.05,,,,,,,Sony,,,
Amnesia Later,PSP,2012,Misc,Idea Factory,0,0,0.05,0,0.05,,,,,,,Sony,,,
World Championship Poker: Featuring Howard Lederer - All In,X360,2006,Misc,Oxygen Interactive,0.04,0,0,0,0.05,,,,,,,Microsoft,,,
SpongeBob SquarePants: Plankton's Robotic Revenge,X360,2013,Shooter,Activision,0.04,0,0,0,0.05,,,6.1,13,Behaviour Interactive,E10+,Microsoft,,,
Crazy Chicken: Atlantis Quest,DS,2007,Platform,Phenomedia,0.04,0,0,0,0.05,,,,,,,Nintendo,,,
Shin Kamaitachi no Yoru: 11 Hitome no Suspect,PSV,2011,Adventure,ChunSoft,0,0,0.05,0,0.05,,,,,,,Sony,,,
Intellivision Lives!,XB,2004,Misc,Crave Entertainment,0.03,0.01,0,0,0.05,,,,,,,Microsoft,,,
Test Drive Le Mans,PS,1999,Racing,Infogrames,0.03,0.02,0,0,0.05,,,,,,,Sony,,,
Counter Force,Wii,2007,Shooter,505 Games,0.04,0,0,0,0.05,,,tbd,,Hyper-Devbox,E10+,Nintendo,,,
Centipede: Infestation,3DS,2011,Shooter,Atari,0.04,0,0,0,0.05,,,tbd,,WayForward,E10+,Nintendo,,,
Cabela's Trophy Bucks,X360,2007,Sports,Activision Value,0.04,0,0,0,0.05,39,4,3,4,FUN Labs,T,Microsoft,,,
XCOM 2,XOne,2016,Strategy,Take-Two Interactive,0.02,0.02,0,0,0.05,87,17,8.1,40,Firaxis Games,T,Microsoft,,,
Yaiba: Ninja Gaiden Z,X360,2014,Action,Tecmo Koei,0.03,0.01,0,0,0.05,50,20,5.3,43,"Spark Unlimited, comcept",M,Microsoft,,,
Hero Bank 2,3DS,2014,Role-Playing,Sega,0,0,0.05,0,0.05,,,,,,,Nintendo,,,
Rock of the Dead,X360,2010,Shooter,Conspiracy Entertainment,0.04,0,0,0,0.05,48,7,4.8,4,Epicenter Studios,T,Microsoft,,,
Monster Jam: Maximum Destruction,GC,2002,Racing,Ubisoft,0.04,0.01,0,0,0.05,,,,,,,Nintendo,,,
Big Air Freestyle,GC,2002,Racing,Atari,0.04,0.01,0,0,0.05,56,12,tbd,,Paradigm Entertainment,T,Nintendo,,,
To Love-Ru Trouble Darkness: Battle Ecstasy,PSV,2014,Action,FuRyu,0,0,0.05,0,0.05,,,,,,,Sony,,,
The Lost Treasures of Alexandria,DS,2011,Puzzle,Unknown,0,0.04,0,0.01,0.05,,,,,,,Nintendo,,,
Rimo-Cocoron,PS2,2001,Action,Sony Computer Entertainment,0,0,0.05,0,0.05,,,,,,,Sony,,,
Mike Tyson Heavyweight Boxing,XB,2002,Sports,Codemasters,0.03,0.01,0,0,0.05,37,13,tbd,,Atomic Planet Entertainment,T,Microsoft,,,
Code Lyoko,DS,2007,Action,Game Factory,0.03,0.01,0,0,0.05,63,11,6.8,13,DC Studios,E10+,Nintendo,,,
The Berenstain Bears and the Spooky Old Tree,GBA,2005,Platform,Namco Bandai Games,0.03,0.01,0,0,0.05,,,,,,,Nintendo,,,
12-Sai. Koisuru Diary,3DS,2016,Adventure,Happinet,0,0,0.05,0,0.05,,,,,,,Nintendo,,,
Pool Party,Wii,2007,Sports,SouthPeak Games,0.04,0,0,0,0.05,32,13,0.7,6,SouthPeak Games,E,Nintendo,,,
Rapala Fishing Frenzy 2009,X360,2008,Sports,Activision,0.04,0,0,0,0.05,41,5,7.2,6,FUN Labs,E,Microsoft,,,
Hakuouki: Bakumatsu Musou Roku,PSP,2012,Action,Idea Factory,0,0,0.05,0,0.05,,,,,,,Sony,,,
Hiiro no Kakera DS,DS,2008,Adventure,Idea Factory,0,0,0.05,0,0.05,,,,,,,Nintendo,,,
Company of Heroes,PC,2006,Strategy,THQ,0,0.04,0,0.01,0.05,93,55,8.8,1128,Relic,M,PC,,,
Arcana Famiglia: La storia della Aracana Famiglia,PSP,2011,Adventure,Comfort,0,0,0.05,0,0.05,,,,,,,Sony,,,
Wonder World Amusement Park,Wii,2008,Misc,Majesco Entertainment,0.04,0,0,0,0.05,37,9,4.5,4,Coyote Console,E,Nintendo,,,
Jonah Lomu Rugby Challenge,PC,2011,Sports,Home Entertainment Suppliers,0,0.04,0,0.01,0.05,,,,,,,PC,,,
Atelier Ayesha: The Alchemist of Dusk,PSV,2014,Role-Playing,Tecmo Koei,0,0,0.05,0,0.05,,,,,,,Sony,,,
The Misadventures of Tron Bonne,PS,1999,Adventure,Eidos Interactive,0.03,0.02,0,0,0.05,,,,,,,Sony,,,
Just Dance 2017,PS3,2016,Misc,Ubisoft,0.01,0.03,0,0.01,0.05,,,tbd,,Ubisoft Paris,E10+,Sony,,,
Ride 2,PS4,2016,Racing,Milestone S.r.l,0,0.04,0,0.01,0.05,71,19,8,12,Milestone S.r.l,E,Sony,,,
Wing Island,Wii,2006,Simulation,Konami Digital Entertainment,0.03,0.01,0.01,0,0.05,47,32,4.9,8,CAProduction,E,Nintendo,,,
Silent Hunter: Wolves of the Pacific,PC,2007,Simulation,Ubisoft,0,0.04,0,0.01,0.05,79,22,6.9,40,Ubisoft Romania,T,PC,,,
Brave Story: New Traveller (jp sales),PSP,2006,Role-Playing,Sony Computer Entertainment,0,0,0.05,0,0.05,,,,,,,Sony,,,
Black Jack vs. Matsudajun,PS,2000,Misc,Pony Canyon,0.03,0.02,0,0,0.05,,,,,,,Sony,,,
Clever Kids: Creepy Crawlies,DS,2009,Action,Midas Interactive Entertainment,0,0.04,0,0,0.05,,,,,,,Nintendo,,,
Wrath Unleashed,XB,2004,Strategy,LucasArts,0.03,0.01,0,0,0.05,69,32,7,4,Double Helix Games,T,Microsoft,,,
March of the Penguins,DS,2006,Adventure,Zoo Digital Publishing,0.04,0,0,0,0.05,34,8,1.7,6,SkyRiver Studios,E,Nintendo,,,
Professor Heinz Wolff's Gravity,DS,2008,Puzzle,Deep Silver,0.04,0,0,0,0.05,53,9,tbd,,Deep Silver,E,Nintendo,,,
Garou Densetsu 3: Road to the Final Victory,SAT,1996,Fighting,SNK,0,0,0.05,0,0.05,,,,,,,Sega,,,
Lips: Deutsche Partyknaller,X360,2009,Misc,Microsoft Game Studios,0,0.04,0,0.01,0.05,,,,,,,Microsoft,,,
Boing! Docomodake DS,DS,2007,Puzzle,Ignition Entertainment,0.04,0,0,0,0.05,,,,,,,Nintendo,,,
Bleach: Soul Carnival,PSP,2008,Fighting,Sony Computer Entertainment,0,0,0.05,0,0.05,,,,,,,Sony,,,
Double Dragon Advance,GBA,2003,Action,Atlus,0.03,0.01,0,0,0.05,75,21,8.4,5,Million,T,Nintendo,,,
Toukiden Kiwami,PSP,2014,Action,Tecmo Koei,0,0,0.05,0,0.05,,,,,,,Sony,,,
Gummy Bears Mini Golf,DS,2010,Sports,Storm City Games,0.04,0,0,0,0.05,,,,,,,Nintendo,,,
Resident Evil Director's Cut,PS3,2006,Action,Capcom,0,0,0.05,0,0.05,,,,,,,Sony,,,
Color Cross,DS,2008,Misc,Rising Star Games,0.04,0,0,0,0.05,72,6,tbd,,Rising Star Games,E,Nintendo,,,
Sesame Street: Elmo's A-to-Zoo Adventure,PC,2010,Misc,Warner Bros. Interactive Entertainment,0.04,0,0,0,0.05,,,tbd,,Black Lantern Studios,EC,PC,,,
The Bible Game,XB,2005,Misc,Crave Entertainment,0.03,0.01,0,0,0.05,60,6,2.7,13,Crave,E,Microsoft,,,
Bubble Bobble Revolution,DS,2005,Puzzle,Atari,0.04,0,0,0,0.05,38,19,6.2,6,Taito Corporation,E,Nintendo,,,
Inspector Gadget: Gadget's Crazy Maze,PS,2001,Puzzle,Ubisoft,0.03,0.02,0,0,0.05,,,,,,,Sony,,,
World Fantasista,PS2,2002,Sports,SquareSoft,0,0,0.05,0,0.05,,,,,,,Sony,,,
Yager,XB,2003,Shooter,THQ,0.03,0.01,0,0,0.05,70,19,9.3,9,Yager,T,Microsoft,,,
River City Soccer Hooligans,DS,2010,Sports,Arc System Works,0.04,0,0.01,0,0.05,,,tbd,,Avit-Niigata,T,Nintendo,,,
Tabi no Yubisashi Kaiwachou DS: DS Series 1 Thai,DS,2006,Misc,Nintendo,0,0,0.05,0,0.05,,,,,,,Nintendo,,,
Cocoto Kart Racer,DS,2004,Racing,Big Ben Interactive,0.04,0,0,0,0.05,,,tbd,,Neko Entertainment,E,Nintendo,,,
Root Letter,PSV,2016,Adventure,PQube,0,0.03,0.01,0.01,0.05,78,6,7.8,6,Kadokawa,M,Sony,,,
Futurama,XB,2003,Platform,SCi,0.03,0.01,0,0,0.05,58,21,6.9,14,UDS,T,Microsoft,,,
Supreme Commander,PC,2007,Strategy,THQ,0,0.04,0,0.01,0.05,86,44,8.3,263,Gas Powered Games,E10+,PC,,,
Pool Hall Pro,Wii,2009,Sports,Playlogic Game Factory,0.04,0,0,0,0.05,62,5,5.3,4,Icon Games,E,Nintendo,,,
Wolfenstein,PC,2009,Shooter,Activision,0.01,0.03,0,0.01,0.05,74,41,7.3,261,"id Software, Raven Software",M,PC,,,
Cesar Millan's Dog Whisperer,DS,2008,Simulation,Ubisoft,0.04,0,0,0,0.05,,,8.6,9,Ubisoft,E,Nintendo,,,
Nazo Waku Yakata: Oto no Ma ni Ma ni,3DS,2011,Misc,Capcom,0,0,0.05,0,0.05,,,,,,,Nintendo,,,
Choro Q 64 2: Hacha Mecha Grand Prix Race,N64,1999,Racing,Takara,0,0,0.05,0,0.05,,,,,,,Nintendo,,,
Microsoft Train Simulator,PC,2001,Simulation,Microsoft Game Studios,0,0.04,0,0.01,0.05,84,16,8.4,21,Kuju Entertainment,E,PC,,,
Activision Anthology,GBA,2003,Misc,Activision,0.03,0.01,0,0,0.05,79,13,tbd,,Aspyr,E,Nintendo,,,
Mahjong 3D: Warriors of the Emperor,3DS,2011,Misc,DTP Entertainment,0,0.04,0,0,0.05,,,tbd,,Engine Software,E,Nintendo,,,
Wayne Gretzky's 3D Hockey '98,PS,1997,Sports,GT Interactive,0.03,0.02,0,0,0.05,,,,,,,Sony,,,
Hakuouki SSL: Sweet School Life,PSV,2014,Adventure,Idea Factory,0,0,0.05,0,0.05,,,,,,,Sony,,,
Resident Evil 6,XOne,2016,Shooter,Capcom,0.04,0,0,0,0.05,63,12,6.3,34,Capcom,M,Microsoft,,,
Max & the Magic Marker,DS,2011,Platform,Unknown,0,0.04,0,0,0.05,,,,,,,Nintendo,,,
Trigger Man,XB,2004,Shooter,Crave Entertainment,0.03,0.01,0,0,0.05,31,5,tbd,,Point of View,T,Microsoft,,,
Assassin's Creed: Altair's Chronicles,DS,2008,Platform,Ubisoft,0.03,0.01,0,0,0.05,58,30,6.3,30,Gameloft,T,Nintendo,,,
Kimi ni Todoke: Tsutaeru Kimochi,DS,2011,Adventure,Banpresto,0,0,0.05,0,0.05,,,,,,,Nintendo,,,
Nora to Koku no Koubou: Kiri no Mori no Majo,DS,2011,Role-Playing,Atlus,0,0,0.05,0,0.05,,,,,,,Nintendo,,,
Bad Boys: Miami Takedown,GC,2004,Shooter,Empire Interactive,0.03,0.01,0,0,0.05,35,11,2,9,Blitz Games,M,Nintendo,,,
Hitman (2016),PS4,2016,Action,Square Enix,0,0.04,0,0.01,0.05,,,,,,,Sony,,,
Short Track Racing: Trading Paint,PS2,2009,Racing,THQ,0.02,0.02,0,0.01,0.05,,,tbd,,THQ,E,Sony,,,
Atelier Escha & Logy: Alchemists of the Dusk Sky,PSV,2015,Role-Playing,Tecmo Koei,0,0,0.05,0,0.05,,,,,,,Sony,,,
Fantastic Four: Rise of the Silver Surfer,Wii,2007,Action,Take-Two Interactive,0.04,0.01,0,0,0.05,39,16,5.9,15,7 Studios,T,Nintendo,,,
Galaxy Racers,DS,2010,Racing,Ubisoft,0.04,0,0,0,0.05,,,tbd,,KUNST-STOFF,E,Nintendo,,,
Game no Kanzume Vol 1,SCD,1994,Misc,Sega,0,0,0.04,0,0.05,,,,,,,Sega,,,
Rat Attack!,PS,1999,Puzzle,Mindscape,0.03,0.02,0,0,0.04,,,,,,,Sony,,,
Black Mirror 2,PC,2009,Adventure,DTP Entertainment,0,0.04,0,0.01,0.04,,,,,,,PC,,,
Pony Friends,DS,2007,Simulation,Eidos Interactive,0,0.04,0,0.01,0.04,67,8,6.6,12,Tantalus Interactive,E,Nintendo,,,
Danny Phantom: Urban Jungle,DS,2006,Action,THQ,0.04,0,0,0,0.04,,,,,,,Nintendo,,,
Summon Night Craft Sword Monogatari: Hajimari no Ishi,GBA,2005,Role-Playing,Banpresto,0,0,0.04,0,0.04,,,,,,,Nintendo,,,
Sotsugyou II: Neo Generation,PS,1995,Simulation,Riverhillsoft,0,0,0.04,0,0.04,,,,,,,Sony,,,
Forza Motorsport 3: Ultimate Edition,X360,2010,Racing,Microsoft Game Studios,0,0.04,0,0.01,0.04,,,,,,,Microsoft,,,
The King of Fighters 2002: Unlimited Match,PS2,2009,Fighting,SNK Playmore,0,0,0.04,0,0.04,,,,,,,Sony,,,
Looney Tunes: Cartoon Conductor,DS,2008,Misc,Eidos Interactive,0.04,0,0,0,0.04,67,17,tbd,,Amaze Entertainment,E,Nintendo,,,
Art of Fighting Anthology,PS2,2006,Fighting,Crave Entertainment,0.02,0.02,0,0.01,0.04,60,19,7,4,SNK Playmore,T,Sony,,,
Ford Bold Moves Street Racing,PSP,2006,Racing,Xplosiv,0.04,0,0,0,0.04,52,19,tbd,,Razorworks,E,Sony,,,
Sébastien Loeb Rally Evo,PS4,2016,Racing,Milestone S.r.l,0,0.04,0,0.01,0.04,71,28,8.1,73,Milestone S.r.l,E,Sony,,,
The Tale of Despereaux,Wii,2008,Platform,Brash Entertainment,0.04,0,0,0,0.04,,,tbd,,Brash Entertainment,E10+,Nintendo,,,
Lux-Pain,DS,2008,Adventure,Rising Star Games,0.04,0,0,0,0.04,48,33,6.2,18,Killaware,T,Nintendo,,,
Rapala Trophies,PSP,2006,Sports,Activision,0.04,0,0,0,0.04,,,tbd,,Sand Grain Studios,E,Sony,,,
Phoenix Wright: Revived Turnabout,DS,2008,Misc,Capcom,0,0,0.04,0,0.04,,,,,,,Nintendo,,,
Mana Khemia: Alchemists of Al-Revis (JP sales),PS2,2007,Role-Playing,Nippon Ichi Software,0,0,0.04,0,0.04,,,,,,,Sony,,,
Active Life: Magical Carnival,Wii,2011,Misc,Namco Bandai Games,0.03,0.01,0,0,0.04,,,tbd,,Bandai Namco Games,E,Nintendo,,,
National Geographic Panda (US sales),DS,2008,Simulation,Ubisoft,0.04,0,0,0,0.04,,,,,,,Nintendo,,,
The Hustle: Detroit Streets,PS2,2006,Sports,Activision,0.02,0.02,0,0.01,0.04,46,5,tbd,,Blade Interactive,T,Sony,,,
Tomoyo After: It's a Wonderful Life CS Edition,PSP,2009,Adventure,Prototype,0,0,0.04,0,0.04,,,,,,,Sony,,,
Virtua Fighter CG Portrait Series Vol.6: Lau Chan,SAT,1995,Misc,Sega,0,0,0.04,0,0.04,,,,,,,Sega,,,
Guilty Gear XX Accent Core,PS2,2007,Fighting,Unknown,0,0,0.04,0,0.04,77,9,8.3,16,Arc System Works,T,Sony,,,
Nihon Pro Mahjong Kishikai Kanshuu: Pro Ni Naru Mahjong DS,DS,2005,Misc,Success,0,0,0.04,0,0.04,,,,,,,Nintendo,,,
